departuresId,departuresIriId,businessDay,saturday,sunday,holidays
1,0001,05:30:00,15:30:00,15:30:00,2023-01-01
2,0001,06:30:00,17:30:00,18:30:00,2023-05-01
3,0001,07:30:00,19:30:00,21:30:00,2023-05-08
4,0001,08:30:00,21:30:00,,2023-07-05
5,0001,09:30:00,,,2023-07-06
6,0001,10:30:00,,,2023-09-28
7,0001,11:30:00,,,2023-10-28
8,0001,12:30:00,,,2023-11-17
9,0001,13:30:00,,,2023-12-24
10,0001,14:30:00,,,2023-12-25
11,0001,15:30:00,,,2023-12-26
12,0001,16:30:00,,,
13,0001,17:30:00,,,
14,0001,18:30:00,,,
15,0001,19:30:00,,,
16,0001,20:30:00,,,
17,0001,21:30:00,,,
18,0001,22:30:00,,,
19,0001,23:30:00,,,
20,0002,07:30:00,09:30:00,09:00:00,2023-01-01
21,0002,08:30:00,11:30:00,10:00:00,2023-05-08
22,0002,09:30:00,13:30:00,11:00:00,2023-09-28
23,0002,10:30:00,15:30:00,,2023-10-28
24,0002,11:30:00,,,2023-11-17
25,0002,12:30:00,,,
26,0002,13:30:00,,,
27,0002,14:30:00,,,
28,0002,15:30:00,,,
29,0002,16:30:00,,,
30,0002,17:30:00,,,
31,0002,18:30:00,,,
32,0002,19:30:00,,,
33,0002,20:30:00,,,
34,0002,21:30:00,,,
35,0002,22:30:00,,,
36,0002,23:30:00,,,
37,0003,10:30:00,12:30:00,16:30:00,2023-01-01
38,0003,11:00:00,,,2023-09-28
39,0003,11:30:00,,,2023-10-28
40,0003,12:00:00,,,2023-12-24
41,0003,12:30:00,,,2023-12-25
42,0003,,,,2023-12-26
43,00040005,09:00:00,15:30:00,09:00:00,2023-01-01
44,00040005,09:30:00,21:00:00,10:00:00,2023-05-01
45,00040005,10:00:00,21:30:00,11:00:00,2023-05-08
46,00040005,10:30:00,22:30:00,,2023-07-05
47,00040005,11:00:00,,,2023-07-06
48,00040005,12:00:00,,,2023-09-28
49,00040005,12:30:00,,,2023-10-28
50,00040005,13:00:00,,,2023-11-17
51,00040005,13:30:00,,,2023-12-24
52,00040005,14:00:00,,,2023-12-25
53,00040005,14:30:00,,,2023-12-26
54,00040005,15:00:00,,,
55,00040005,15:30:00,,,
56,00040005,16:00:00,,,
57,00040005,16:30:00,,,
58,00040005,17:30:00,,,
59,00040005,18:30:00,,,
60,00040005,19:30:00,,,
61,00040005,20:30:00,,,
62,00040005,21:00:00,,,
63,00040005,21:30:00,,,
64,00040005,22:00:00,,,
