id,traffId,stationId,order,minutesToNext
1,1,1,1,2
2,1,2,2,1
3,1,3,3,2
4,1,4,4,3
5,1,5,5,5
6,1,6,6,7
7,1,7,7,3
8,1,8,8,2
9,1,9,9,1
10,1,10,10,3
11,1,11,11,2
12,1,12,12,4
13,1,13,13,3
14,1,14,14,2
15,1,15,15,1
16,1,16,16,5
17,1,17,17,3
18,1,18,18,4
19,1,19,19,1
20,1,20,20,2
21,1,21,21,3
22,1,22,22,4
23,1,23,23,5
24,1,24,24,1
25,1,25,25,2
26,1,26,26,0
27,2,27,1,3
28,2,28,2,2
29,2,28,3,4
30,2,29,4,1
31,2,9,5,1
32,2,10,6,3
33,2,11,7,2
34,2,12,8,4
35,2,30,9,0
36,4,80,1,1
37,4,81,2,3
38,4,82,3,0
39,5,82,1,3
40,5,81,2,1
41,5,80,3,0
