stationId,transportType
0001,tram
0002,tram
0002,bus
0003,tram
0004,tram
0005,tram
0006,tram
0007,tram
0008,tram
0009,tram
0010,tram
0011,tram
0011,bus
0012,tram
0013,tram
0014,tram
0015,tram
0016,tram
0017,tram
0017,bus
0018,tram
0018,bus
0019,tram
0020,tram
0021,tram
0022,tram
0023,tram
0023,bus
0024,tram
0025,tram
0026,tram
0027,tram
0028,tram
0029,tram
0030,tram
0080,funicular
0081,funicular
0082,funicular
0100,train
0101,train
0102,train
0103,train
0104,train
0105,train
0106,train
0107,train
0108,train
0109,train
0110,train
